gene_id,mean_cpm_ground,mean_cpm_flight,n_ground,n_flight,log2fc_flight_vs_ground
AT5G50600,1.2919017211871129,3.848858781067141,18,18,1.0811000557100594
AT1G22770,10.994535834646868,24.328107444290147,18,18,1.0783619514511045
AT1G77120,3.661465565696506,8.817901263755251,18,18,1.074631048139532
AT1G80160,9.210812334959568,20.467816313131497,18,18,1.0720778026913476
AT1G65970,321.65795683314565,676.2479766438025,18,18,1.06967857504274
AT5G41280,18.776630441046684,40.428819454778676,18,18,1.0668380707889666
AT2G36470,6.845494388382409,15.419650902502358,18,18,1.0654871869281228
AT3G47050,1.7561088144435018,4.756356164219209,18,18,1.062523010532186
AT1G53680,11.644507591596529,25.2496663179444,18,18,1.0537882275779917
AT3G10710,1.0238924407722554,3.1901519541349956,18,18,1.0498699431911824
AT5G44610,33.49633857855733,70.35229491826398,18,18,1.048516588940414
AT1G74830,0.6509094138894789,2.404697996984149,18,18,1.0442658730667347
AT5G05320,8.333701208398733,18.22346103384421,18,18,1.0423469160370318
AT2G47540,20.390946290031543,42.995420641849734,18,18,1.0403530598636697
AT4G15530,1.7437995834961983,4.634720501822039,18,18,1.0381689444109456
AT5G44572,0.856408553140741,2.8094506839915887,18,18,1.0370687290089962
AT3G25882,2.70468002692206,6.598854206337829,18,18,1.0364329557075616
AT5G42900,3.1737497329540654,7.560345930868373,18,18,1.0363250023580206
AT4G33730,1.7733868415266147,4.687319540731242,18,18,1.0361000015793969
AT4G16008,6.879133678545821,15.136918397349755,18,18,1.034256181992821
AT5G05410,8.699109825938033,18.828850305863185,18,18,1.0316767818073262
AT2G18360,5.1390068744906845,11.537005804794624,18,18,1.03011564198966
AT1G01750,15.223088550955753,32.04486435608928,18,18,1.0263775678103508
AT1G21130,0.8972685276391731,2.8622512115073433,18,18,1.025518120895117
AT1G36640,2.1536864819550425,5.41942518081048,18,18,1.0254048745195519
AT4G31875,13.052591173658808,27.593829952155,18,18,1.02486769706253
AT4G05775,1.2239469805856742,3.5139323603189574,18,18,1.0212624061310378
