gene_or_label,day,value,condition
Tyrosine,168,-0.715908189,0d darkness
Uric acid,168,-1.054572201,0d darkness
Uridine,168,-1.075236086,0d darkness
Uridine-5'-diphosphogalactose,168,-0.612544077,0d darkness
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,169,-0.027872612,0d darkness
Phe-Val,169,-0.527794786,0d darkness
6-Hydroxymelatonin,169,-0.028601451,0d darkness
adenine,169,-0.19118058,0d darkness
Adenosine,169,-0.446900609,0d darkness
Allantoic acid,169,0.390324165,0d darkness
alpha-D-Galacturonic acid 1-phosphate,169,-1.095049015,0d darkness
alpha-Ketoglutaric acid,169,-1.20937606,0d darkness
Argininosuccinic acid,169,-0.891510891,0d darkness
Aspartic acid,169,-0.391736074,0d darkness
beta-Nicotinamide adenine dinucleotide,169,-0.675547282,0d darkness
Cellobiitol,169,0.02123251,0d darkness
Citric acid,169,1.623227118,0d darkness
Flavin Mononucleotide,169,-0.155690577,0d darkness
Flavine adenine dinucleotide (FAD),169,-0.435512015,0d darkness
Formimino-L-Aspartic acid,169,0.213287668,0d darkness
Glucoalyssin,169,-5.871513567,0d darkness
Glucohirsutin,169,-0.159732087,0d darkness
Glucoiberin,169,-1.407387794,0d darkness
Gluconic acid,169,-0.092010822,0d darkness
"Glutamic acid, N-acetyl-",169,-0.806016782,0d darkness
Glutathione,169,-1.427890602,0d darkness
Guanosine,169,-0.390983304,0d darkness
2-Isopropylmalic acid,169,-0.382437403,0d darkness
Histidine,169,-1.675288595,0d darkness
Iminodiacetic acid,169,0.411868183,0d darkness
Leucine,169,-1.088493894,0d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,169,-2.922211377,0d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,169,-3.798468332,0d darkness
Lactobionic acid,169,-0.03537241,0d darkness
Lactulose,169,-0.281266164,0d darkness
Isoleucine,169,-1.22636891,0d darkness
Loganin,169,0.399336038,0d darkness
"3,4-Dihydroxybenzoic acid",169,-0.902443743,0d darkness
Malic acid,169,-0.650450669,0d darkness
Mimosine,169,-0.007060639,0d darkness
"N,N-Dimethylglycine",169,-0.786290065,0d darkness
N-Acetyl-L-Tyrosine,169,-2.416541474,0d darkness
Naringin,169,-1.399446092,0d darkness
N-Ethylmaleamic acid,169,-0.013204637,0d darkness
Nicotinamide adenine dinucleotide phosphate (NADP),169,0.011071578,0d darkness
O-palmitoyl-L-Carnitine chloride,169,0.02575128,0d darkness
Pantothenic acid (Vitamine B5) ,169,-0.260462333,0d darkness
3-Deoxy-D-manno-2-octulosonic acid,169,-0.684290066,0d darkness
3-Hydroxyphenylacetic acid,169,0.278935727,0d darkness
porphobilinogen,169,-0.938884105,0d darkness
Purine,169,-0.635864136,0d darkness
Pyroglutamic acid,169,-1.282865985,0d darkness
"Quercetin 3,7-dirhamnoside",169,-3.911521579,0d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,169,-3.786574392,0d darkness
Riboflavin ,169,-0.215722816,0d darkness
Rutin,169,-2.489640615,0d darkness
Saccharic acid,169,0.486336787,0d darkness
S-Adenosyl-L-Homocysteine,169,-0.876391684,0d darkness
Sedoheptulose,169,-0.14732091,0d darkness
Serine,169,-1.160797991,0d darkness
Sinapoylglucose,169,-2.811232129,0d darkness
Succinoadenosine,169,-0.324368288,0d darkness
"Trehalose, alpha,beta-",169,0.302465631,0d darkness
Tyrosine,169,-0.751160541,0d darkness
Uric acid,169,-1.727732489,0d darkness
Uridine,169,-0.851732605,0d darkness
Uridine-5'-diphosphogalactose,169,-0.599723067,0d darkness
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,170,-0.289441866,0d darkness
Phe-Val,170,0.294968325,0d darkness
6-Hydroxymelatonin,170,-0.04280724,0d darkness
adenine,170,-0.005531716,0d darkness
Adenosine,170,-0.767873895,0d darkness
Allantoic acid,170,0.301823173,0d darkness
alpha-D-Galacturonic acid 1-phosphate,170,-1.612404994,0d darkness
alpha-Ketoglutaric acid,170,-1.217442935,0d darkness
Argininosuccinic acid,170,-0.209163054,0d darkness
Aspartic acid,170,-0.45936108,0d darkness
beta-Nicotinamide adenine dinucleotide,170,-0.641107584,0d darkness
Cellobiitol,170,0.007119456,0d darkness
Citric acid,170,1.340716462,0d darkness
Flavin Mononucleotide,170,-0.270213788,0d darkness
Flavine adenine dinucleotide (FAD),170,-0.549113484,0d darkness
Formimino-L-Aspartic acid,170,0.329666793,0d darkness
Glucoalyssin,170,-7.075946594,0d darkness
Glucohirsutin,170,0.050869326,0d darkness
Glucoiberin,170,-1.473314099,0d darkness
Gluconic acid,170,-0.126203197,0d darkness
"Glutamic acid, N-acetyl-",170,-0.750573202,0d darkness
Glutathione,170,-1.412745472,0d darkness
Guanosine,170,-0.693587213,0d darkness
2-Isopropylmalic acid,170,-0.361091909,0d darkness
Histidine,170,-1.947001405,0d darkness
Iminodiacetic acid,170,0.248880777,0d darkness
Leucine,170,-1.104984417,0d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,170,-3.658482979,0d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,170,-5.099076636,0d darkness
Lactobionic acid,170,0.01279429,0d darkness
Lactulose,170,-0.375059997,0d darkness
Isoleucine,170,-1.330909929,0d darkness
Loganin,170,0.382548048,0d darkness
"3,4-Dihydroxybenzoic acid",170,-1.076700346,0d darkness
Malic acid,170,-0.602360239,0d darkness
Mimosine,170,-0.027574863,0d darkness
"N,N-Dimethylglycine",170,-0.784494989,0d darkness
N-Acetyl-L-Tyrosine,170,-2.618418723,0d darkness
Naringin,170,-1.752209105,0d darkness
N-Ethylmaleamic acid,170,-0.212790439,0d darkness
Nicotinamide adenine dinucleotide phosphate (NADP),170,-0.050972281,0d darkness
O-palmitoyl-L-Carnitine chloride,170,0.013727898,0d darkness
Pantothenic acid (Vitamine B5) ,170,0.403971279,0d darkness
3-Deoxy-D-manno-2-octulosonic acid,170,-0.954772528,0d darkness
3-Hydroxyphenylacetic acid,170,-0.432041848,0d darkness
porphobilinogen,170,-0.789938929,0d darkness
Purine,170,-0.711195924,0d darkness
Pyroglutamic acid,170,-1.339592985,0d darkness
"Quercetin 3,7-dirhamnoside",170,-3.012670728,0d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,170,-4.47450773,0d darkness
Riboflavin ,170,-0.318882593,0d darkness
Rutin,170,-2.421314559,0d darkness
Saccharic acid,170,0.116084262,0d darkness
S-Adenosyl-L-Homocysteine,170,-0.913705595,0d darkness
Sedoheptulose,170,0.174673588,0d darkness
Serine,170,-1.134189981,0d darkness
Sinapoylglucose,170,-2.388235728,0d darkness
Succinoadenosine,170,-0.149054435,0d darkness
"Trehalose, alpha,beta-",170,0.229555995,0d darkness
Tyrosine,170,-0.786116138,0d darkness
Uric acid,170,-1.135172403,0d darkness
Uridine,170,-0.924810616,0d darkness
Uridine-5'-diphosphogalactose,170,-0.652259227,0d darkness
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,171,-0.142879068,0d darkness
Phe-Val,171,-0.100991822,0d darkness
6-Hydroxymelatonin,171,-0.037712883,0d darkness
adenine,171,0.113212313,0d darkness
Adenosine,171,-0.711867864,0d darkness
Allantoic acid,171,0.112283532,0d darkness
alpha-D-Galacturonic acid 1-phosphate,171,-0.949116061,0d darkness
alpha-Ketoglutaric acid,171,-1.065600764,0d darkness
Argininosuccinic acid,171,-0.850490633,0d darkness
Aspartic acid,171,-0.370568891,0d darkness
beta-Nicotinamide adenine dinucleotide,171,-0.710373105,0d darkness
Cellobiitol,171,-0.028092111,0d darkness
Citric acid,171,1.48128444,0d darkness
Flavin Mononucleotide,171,-0.271730779,0d darkness
Flavine adenine dinucleotide (FAD),171,-0.562702943,0d darkness
Formimino-L-Aspartic acid,171,0.252857721,0d darkness
Glucoalyssin,171,-7.423577635,0d darkness
Glucohirsutin,171,0.069240926,0d darkness
Glucoiberin,171,-1.441422272,0d darkness
Gluconic acid,171,-0.026865727,0d darkness
"Glutamic acid, N-acetyl-",171,-0.698790806,0d darkness
Glutathione,171,-1.387148494,0d darkness
Guanosine,171,-0.612656762,0d darkness
2-Isopropylmalic acid,171,-0.133036154,0d darkness
Histidine,171,-1.606861368,0d darkness
Iminodiacetic acid,171,0.15473633,0d darkness
Leucine,171,-0.52325016,0d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,171,-2.983658521,0d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,171,-3.805175368,0d darkness
Lactobionic acid,171,0.502204137,0d darkness
Lactulose,171,-0.352930592,0d darkness
Isoleucine,171,-1.1556871,0d darkness
Loganin,171,0.588493065,0d darkness
"3,4-Dihydroxybenzoic acid",171,-0.789021484,0d darkness
Malic acid,171,-0.570178207,0d darkness
Mimosine,171,0.057588947,0d darkness
"N,N-Dimethylglycine",171,-0.668437164,0d darkness
N-Acetyl-L-Tyrosine,171,-3.08344674,0d darkness
Naringin,171,-1.122171632,0d darkness
N-Ethylmaleamic acid,171,0.486173204,0d darkness
Nicotinamide adenine dinucleotide phosphate (NADP),171,-0.178932086,0d darkness
O-palmitoyl-L-Carnitine chloride,171,0.01952819,0d darkness
Pantothenic acid (Vitamine B5) ,171,0.022586949,0d darkness
3-Deoxy-D-manno-2-octulosonic acid,171,-0.84676175,0d darkness
3-Hydroxyphenylacetic acid,171,-0.189323328,0d darkness
porphobilinogen,171,-0.405570808,0d darkness
Purine,171,-0.552230741,0d darkness
Pyroglutamic acid,171,-1.468090956,0d darkness
"Quercetin 3,7-dirhamnoside",171,-2.656286433,0d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,171,-3.994934026,0d darkness
Riboflavin ,171,-0.147281118,0d darkness
Rutin,171,-2.575340039,0d darkness
Saccharic acid,171,0.202962443,0d darkness
S-Adenosyl-L-Homocysteine,171,-0.837215688,0d darkness
Sedoheptulose,171,0.008975101,0d darkness
Serine,171,-0.994093987,0d darkness
Sinapoylglucose,171,-1.894022569,0d darkness
Succinoadenosine,171,-0.238166187,0d darkness
"Trehalose, alpha,beta-",171,0.096094275,0d darkness
Tyrosine,171,-0.43354566,0d darkness
Uric acid,171,-0.694693116,0d darkness
Uridine,171,-0.76062263,0d darkness
Uridine-5'-diphosphogalactose,171,-0.631802548,0d darkness
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,172,-0.428061862,0d darkness
Phe-Val,172,0.27595214,0d darkness
6-Hydroxymelatonin,172,-0.03570028,0d darkness
adenine,172,-0.718598253,0d darkness
Adenosine,172,-1.088005577,0d darkness
Allantoic acid,172,0.059167216,0d darkness
alpha-D-Galacturonic acid 1-phosphate,172,-0.931080887,0d darkness
alpha-Ketoglutaric acid,172,-1.081779536,0d darkness
Argininosuccinic acid,172,-0.823838091,0d darkness
Aspartic acid,172,-0.609677945,0d darkness
beta-Nicotinamide adenine dinucleotide,172,-0.802515712,0d darkness
Cellobiitol,172,-0.025289007,0d darkness
Citric acid,172,1.551418053,0d darkness
Flavin Mononucleotide,172,-0.221182697,0d darkness
Flavine adenine dinucleotide (FAD),172,-0.428196159,0d darkness
Formimino-L-Aspartic acid,172,-0.140968108,0d darkness
Glucoalyssin,172,-3.261603124,0d darkness
Glucohirsutin,172,-0.111750807,0d darkness
Glucoiberin,172,-1.485104322,0d darkness
Gluconic acid,172,-0.069471334,0d darkness
"Glutamic acid, N-acetyl-",172,-0.714954211,0d darkness
Glutathione,172,-1.475502701,0d darkness
Guanosine,172,-0.848966628,0d darkness
2-Isopropylmalic acid,172,-0.127436948,0d darkness
Histidine,172,-2.008629907,0d darkness
Iminodiacetic acid,172,0.016450415,0d darkness
Leucine,172,-1.007918805,0d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,172,-3.393959389,0d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,172,-4.570046729,0d darkness
Lactobionic acid,172,-0.116898986,0d darkness
Lactulose,172,-0.35728206,0d darkness
Isoleucine,172,-1.26509816,0d darkness
Loganin,172,0.30536521,0d darkness
"3,4-Dihydroxybenzoic acid",172,-1.11644929,0d darkness
Malic acid,172,-0.655266126,0d darkness
Mimosine,172,0.000225064,0d darkness
"N,N-Dimethylglycine",172,-0.782512491,0d darkness
N-Acetyl-L-Tyrosine,172,-2.29791292,0d darkness
Naringin,172,-1.975580755,0d darkness
N-Ethylmaleamic acid,172,-0.18856116,0d darkness
Nicotinamide adenine dinucleotide phosphate (NADP),172,-0.108091902,0d darkness
O-palmitoyl-L-Carnitine chloride,172,0.026126961,0d darkness
Pantothenic acid (Vitamine B5) ,172,-0.301154279,0d darkness
3-Deoxy-D-manno-2-octulosonic acid,172,-1.058257272,0d darkness
3-Hydroxyphenylacetic acid,172,0.864780673,0d darkness
porphobilinogen,172,-1.154576997,0d darkness
Purine,172,-0.820573557,0d darkness
Pyroglutamic acid,172,-1.272910925,0d darkness
"Quercetin 3,7-dirhamnoside",172,-4.92576926,0d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,172,-4.533153506,0d darkness
Riboflavin ,172,-0.583394144,0d darkness
Rutin,172,-2.478443851,0d darkness
Saccharic acid,172,0.237029232,0d darkness
S-Adenosyl-L-Homocysteine,172,-0.944361852,0d darkness
Sedoheptulose,172,-0.132482283,0d darkness
Serine,172,-1.156286219,0d darkness
Sinapoylglucose,172,-1.955466311,0d darkness
Succinoadenosine,172,-1.058728917,0d darkness
"Trehalose, alpha,beta-",172,0.211351841,0d darkness
Tyrosine,172,-0.743403682,0d darkness
Uric acid,172,-1.485395453,0d darkness
Uridine,172,-1.020754899,0d darkness
Uridine-5'-diphosphogalactose,172,-0.683409582,0d darkness
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,173,0.042688279,0d darkness
Phe-Val,173,-0.436441862,0d darkness
6-Hydroxymelatonin,173,-0.032249809,0d darkness
adenine,173,-0.374126937,0d darkness
Adenosine,173,-0.448461576,0d darkness
Allantoic acid,173,-0.290601235,0d darkness
alpha-D-Galacturonic acid 1-phosphate,173,-0.957104789,0d darkness
alpha-Ketoglutaric acid,173,-1.061293592,0d darkness
Argininosuccinic acid,173,-0.852498033,0d darkness
Aspartic acid,173,-0.361612122,0d darkness
beta-Nicotinamide adenine dinucleotide,173,-0.812317244,0d darkness
Cellobiitol,173,0.042184695,0d darkness
Citric acid,173,1.780981418,0d darkness
Flavin Mononucleotide,173,-0.144416221,0d darkness
Flavine adenine dinucleotide (FAD),173,-0.569322431,0d darkness
Formimino-L-Aspartic acid,173,0.123065167,0d darkness
Glucoalyssin,173,-1.372504897,0d darkness
Glucohirsutin,173,-0.405804527,0d darkness
Glucoiberin,173,-1.419346591,0d darkness
Gluconic acid,173,-0.060680485,0d darkness
"Glutamic acid, N-acetyl-",173,-0.863102289,0d darkness
Glutathione,173,-1.28127403,0d darkness
Guanosine,173,-0.541270725,0d darkness
2-Isopropylmalic acid,173,-0.187883323,0d darkness
Histidine,173,-1.512230312,0d darkness
Iminodiacetic acid,173,-0.257757541,0d darkness
Leucine,173,-1.16918873,0d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,173,-2.531876203,0d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,173,-4.526878318,0d darkness
Lactobionic acid,173,-0.123451872,0d darkness
Lactulose,173,-0.28146357,0d darkness
Isoleucine,173,-1.192330087,0d darkness
Loganin,173,0.026129344,0d darkness
"3,4-Dihydroxybenzoic acid",173,-0.999100911,0d darkness
Malic acid,173,-0.663631985,0d darkness
Mimosine,173,0.016899259,0d darkness
"N,N-Dimethylglycine",173,-0.800477845,0d darkness
N-Acetyl-L-Tyrosine,173,-2.464267962,0d darkness
Naringin,173,-1.17216218,0d darkness
N-Ethylmaleamic acid,173,-0.27841586,0d darkness
Nicotinamide adenine dinucleotide phosphate (NADP),173,-0.066102305,0d darkness
O-palmitoyl-L-Carnitine chloride,173,0.049110396,0d darkness
Pantothenic acid (Vitamine B5) ,173,-0.414725871,0d darkness
3-Deoxy-D-manno-2-octulosonic acid,173,-0.782034249,0d darkness
3-Hydroxyphenylacetic acid,173,0.406520547,0d darkness
porphobilinogen,173,-0.621471856,0d darkness
Purine,173,-0.857310126,0d darkness
Pyroglutamic acid,173,-1.288333083,0d darkness
"Quercetin 3,7-dirhamnoside",173,-2.73509971,0d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,173,-4.877885029,0d darkness
Riboflavin ,173,-0.225238358,0d darkness
Rutin,173,-2.550173734,0d darkness
Saccharic acid,173,0.357198089,0d darkness
S-Adenosyl-L-Homocysteine,173,-0.74448443,0d darkness
Sedoheptulose,173,0.123085615,0d darkness
Serine,173,-0.961746508,0d darkness
Sinapoylglucose,173,-2.522032934,0d darkness
Succinoadenosine,173,-0.823363872,0d darkness
"Trehalose, alpha,beta-",173,0.285368943,0d darkness
Tyrosine,173,-0.713701425,0d darkness
Uric acid,173,-0.96682425,0d darkness
Uridine,173,-0.869870145,0d darkness
Uridine-5'-diphosphogalactose,173,-0.583672365,0d darkness
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,174,-0.433676681,0d darkness
Phe-Val,174,0.27398557,0d darkness
6-Hydroxymelatonin,174,-0.037857407,0d darkness
adenine,174,-0.328371829,0d darkness
Adenosine,174,-0.543650581,0d darkness
Allantoic acid,174,-0.226783478,0d darkness
alpha-D-Galacturonic acid 1-phosphate,174,-0.771885549,0d darkness
alpha-Ketoglutaric acid,174,-0.984017487,0d darkness
Argininosuccinic acid,174,-0.541790051,0d darkness
Aspartic acid,174,-0.514369107,0d darkness
beta-Nicotinamide adenine dinucleotide,174,-0.858230405,0d darkness
Cellobiitol,174,-0.001613495,0d darkness
Citric acid,174,1.491725726,0d darkness
Flavin Mononucleotide,174,-0.173012969,0d darkness
Flavine adenine dinucleotide (FAD),174,-0.622915397,0d darkness
Formimino-L-Aspartic acid,174,-0.079284724,0d darkness
Glucoalyssin,174,-2.256997484,0d darkness
Glucohirsutin,174,-1.018881371,0d darkness
Glucoiberin,174,-1.416506022,0d darkness
Gluconic acid,174,-0.069028826,0d darkness
"Glutamic acid, N-acetyl-",174,-0.545737752,0d darkness
Glutathione,174,-1.393055928,0d darkness
Guanosine,174,-0.449727366,0d darkness
2-Isopropylmalic acid,174,-0.321336552,0d darkness
Histidine,174,-2.120663499,0d darkness
Iminodiacetic acid,174,-0.238118823,0d darkness
Leucine,174,-0.994739699,0d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,174,-2.849440508,0d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,174,-3.417542795,0d darkness
Lactobionic acid,174,-0.22482723,0d darkness
Lactulose,174,-0.38533521,0d darkness
Isoleucine,174,-1.334127442,0d darkness
Loganin,174,0.680590665,0d darkness
"3,4-Dihydroxybenzoic acid",174,-1.140538369,0d darkness
Malic acid,174,-0.683092985,0d darkness
Mimosine,174,0.015691566,0d darkness
"N,N-Dimethylglycine",174,-0.765272373,0d darkness
N-Acetyl-L-Tyrosine,174,-2.356591431,0d darkness
Naringin,174,-1.021254987,0d darkness
N-Ethylmaleamic acid,174,-0.176310656,0d darkness
Nicotinamide adenine dinucleotide phosphate (NADP),174,-0.053280551,0d darkness
O-palmitoyl-L-Carnitine chloride,174,0.020347226,0d darkness
Pantothenic acid (Vitamine B5) ,174,-0.588466862,0d darkness
3-Deoxy-D-manno-2-octulosonic acid,174,-0.821400219,0d darkness
3-Hydroxyphenylacetic acid,174,-0.79064921,0d darkness
porphobilinogen,174,-1.007194355,0d darkness
Purine,174,-0.984253501,0d darkness
Pyroglutamic acid,174,-1.338044148,0d darkness
"Quercetin 3,7-dirhamnoside",174,-3.666227266,0d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,174,-3.265574447,0d darkness
Riboflavin ,174,-0.210968845,0d darkness
Rutin,174,-2.490667621,0d darkness
Saccharic acid,174,0.32174463,0d darkness
S-Adenosyl-L-Homocysteine,174,-0.892682641,0d darkness
Sedoheptulose,174,-0.08610378,0d darkness
Serine,174,-1.171839071,0d darkness
Sinapoylglucose,174,-1.743454208,0d darkness
Succinoadenosine,174,-0.360878049,0d darkness
"Trehalose, alpha,beta-",174,0.288378172,0d darkness
Tyrosine,174,-0.830717665,0d darkness
Uric acid,174,-1.045706168,0d darkness
Uridine,174,-0.88953746,0d darkness
Uridine-5'-diphosphogalactose,174,-0.628676703,0d darkness
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,175,-0.169480664,0d darkness
Phe-Val,175,1.188054179,0d darkness
6-Hydroxymelatonin,175,-0.027693497,0d darkness
adenine,175,-0.308866932,0d darkness
Adenosine,175,-0.490761303,0d darkness
Allantoic acid,175,0.020563587,0d darkness
alpha-D-Galacturonic acid 1-phosphate,175,-1.512626224,0d darkness
alpha-Ketoglutaric acid,175,-1.055273075,0d darkness
Argininosuccinic acid,175,-0.445677007,0d darkness
Aspartic acid,175,-0.346224995,0d darkness
beta-Nicotinamide adenine dinucleotide,175,-0.569351396,0d darkness
Cellobiitol,175,0.019596967,0d darkness
Citric acid,175,1.624959411,0d darkness
Flavin Mononucleotide,175,-0.220396121,0d darkness
Flavine adenine dinucleotide (FAD),175,-0.523573899,0d darkness
Formimino-L-Aspartic acid,175,0.228661418,0d darkness
Glucoalyssin,175,-6.992828015,0d darkness
Glucohirsutin,175,-0.3464691,0d darkness
Glucoiberin,175,-1.449757227,0d darkness
Gluconic acid,175,0.021641067,0d darkness
"Glutamic acid, N-acetyl-",175,-0.889685004,0d darkness
Glutathione,175,-1.300105768,0d darkness
Guanosine,175,-0.3852194,0d darkness
2-Isopropylmalic acid,175,-0.133385372,0d darkness
Histidine,175,-1.845746524,0d darkness
Iminodiacetic acid,175,0.049299823,0d darkness
Leucine,175,-0.817543614,0d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,175,-4.341383316,0d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,175,-4.161639097,0d darkness
Lactobionic acid,175,-0.225534778,0d darkness
Lactulose,175,-0.386151003,0d darkness
Isoleucine,175,-1.205188407,0d darkness
Loganin,175,0.728102409,0d darkness
"3,4-Dihydroxybenzoic acid",175,-1.165271726,0d darkness
Malic acid,175,-0.627082039,0d darkness
Mimosine,175,0.074893721,0d darkness
"N,N-Dimethylglycine",175,-0.72824544,0d darkness
N-Acetyl-L-Tyrosine,175,-2.573540046,0d darkness
Naringin,175,-0.912449189,0d darkness
N-Ethylmaleamic acid,175,-0.130899372,0d darkness
Nicotinamide adenine dinucleotide phosphate (NADP),175,-0.020756046,0d darkness
O-palmitoyl-L-Carnitine chloride,175,0.014820489,0d darkness
Pantothenic acid (Vitamine B5) ,175,-0.386344032,0d darkness
3-Deoxy-D-manno-2-octulosonic acid,175,-0.625080974,0d darkness
3-Hydroxyphenylacetic acid,175,0.689845757,0d darkness
porphobilinogen,175,-0.288276889,0d darkness
Purine,175,-0.792861908,0d darkness
Pyroglutamic acid,175,-1.329864931,0d darkness
"Quercetin 3,7-dirhamnoside",175,-4.207647665,0d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,175,-3.778141112,0d darkness
Riboflavin ,175,-0.103028752,0d darkness
Rutin,175,-2.418126776,0d darkness
Saccharic acid,175,0.263373124,0d darkness
S-Adenosyl-L-Homocysteine,175,-0.847100205,0d darkness
Sedoheptulose,175,0.09128506,0d darkness
Serine,175,-1.010419369,0d darkness
Sinapoylglucose,175,-2.443311946,0d darkness
Succinoadenosine,175,-0.131887847,0d darkness
"Trehalose, alpha,beta-",175,0.370496333,0d darkness
Tyrosine,175,-0.79618867,0d darkness
Uric acid,175,-1.424096236,0d darkness
Uridine,175,-0.852546002,0d darkness
Uridine-5'-diphosphogalactose,175,-0.684380317,0d darkness
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,176,-0.346347247,0d darkness
Phe-Val,176,0.37366066,0d darkness
6-Hydroxymelatonin,176,-0.027422682,0d darkness
adenine,176,0.097263133,0d darkness
Adenosine,176,-0.383754363,0d darkness
Allantoic acid,176,-0.126397167,0d darkness
alpha-D-Galacturonic acid 1-phosphate,176,-0.306613931,0d darkness
alpha-Ketoglutaric acid,176,-1.040698655,0d darkness
Argininosuccinic acid,176,-0.596802061,0d darkness
Aspartic acid,176,-0.449346316,0d darkness
beta-Nicotinamide adenine dinucleotide,176,-0.732482493,0d darkness
Cellobiitol,176,-0.05766616,0d darkness
Citric acid,176,1.855309651,0d darkness
Flavin Mononucleotide,176,-0.078214791,0d darkness
Flavine adenine dinucleotide (FAD),176,-0.588637237,0d darkness
Formimino-L-Aspartic acid,176,-0.00969155,0d darkness
Glucoalyssin,176,-1.005369525,0d darkness
Glucohirsutin,176,-0.956949781,0d darkness
Glucoiberin,176,-1.411006261,0d darkness
Gluconic acid,176,-0.024577329,0d darkness
"Glutamic acid, N-acetyl-",176,-0.755963021,0d darkness
Glutathione,176,-1.321514723,0d darkness
Guanosine,176,-0.410109225,0d darkness
2-Isopropylmalic acid,176,-0.00041114,0d darkness
Histidine,176,-1.465734936,0d darkness
Iminodiacetic acid,176,-0.088017047,0d darkness
Leucine,176,-1.036486552,0d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,176,-3.090767197,0d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,176,-3.808538681,0d darkness
Lactobionic acid,176,-0.21892131,0d darkness
Lactulose,176,-0.426791114,0d darkness
Isoleucine,176,-1.400462315,0d darkness
Loganin,176,0.136736566,0d darkness
"3,4-Dihydroxybenzoic acid",176,-0.876295668,0d darkness
Malic acid,176,-0.635784271,0d darkness
Mimosine,176,0.033698559,0d darkness
"N,N-Dimethylglycine",176,-0.638369749,0d darkness
N-Acetyl-L-Tyrosine,176,-2.396755175,0d darkness
Naringin,176,-1.126932473,0d darkness
N-Ethylmaleamic acid,176,-0.18308173,0d darkness
Nicotinamide adenine dinucleotide phosphate (NADP),176,0.045459315,0d darkness
O-palmitoyl-L-Carnitine chloride,176,0.015911194,0d darkness
Pantothenic acid (Vitamine B5) ,176,-0.239231896,0d darkness
3-Deoxy-D-manno-2-octulosonic acid,176,-0.478406492,0d darkness
3-Hydroxyphenylacetic acid,176,0.279678367,0d darkness
porphobilinogen,176,-0.575595617,0d darkness
Purine,176,-1.138665565,0d darkness
Pyroglutamic acid,176,-1.261407414,0d darkness
"Quercetin 3,7-dirhamnoside",176,-2.113986282,0d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,176,-2.571783162,0d darkness
Riboflavin ,176,-0.092170257,0d darkness
Rutin,176,-2.535380323,0d darkness
Saccharic acid,176,0.200723096,0d darkness
S-Adenosyl-L-Homocysteine,176,-0.714085166,0d darkness
Sedoheptulose,176,0.025195959,0d darkness
Serine,176,-1.044119127,0d darkness
Sinapoylglucose,176,-2.398566754,0d darkness
Succinoadenosine,176,0.296538319,0d darkness
"Trehalose, alpha,beta-",176,0.012279377,0d darkness
Tyrosine,176,-1.005660946,0d darkness
Uric acid,176,-1.454902179,0d darkness
Uridine,176,-0.838032833,0d darkness
Uridine-5'-diphosphogalactose,176,-0.643346892,0d darkness
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,177,-0.367597892,0d darkness
Phe-Val,177,0.18084969,0d darkness
6-Hydroxymelatonin,177,-0.031805277,0d darkness
adenine,177,-0.320079733,0d darkness
Adenosine,177,-0.979077489,0d darkness
Allantoic acid,177,0.234458153,0d darkness
