,country,id,pid,pidc,time,ecotype,Mincirclediam,Normsmallpax,Normlargepax,Minrectarea,Mindistcenbdy,vrectsizey,vrectsizex,Compactness,Normrotmo,Area,Paxratio,Circumference,Excentricity,Maxdiam,Roundness,Bdryround,Bdrycount,Bdrytoarearatio,Conhullcirc,Conhullarea
1_magic_e11_w1arab_magic_w1,Italy,121,outside,corner,17,Ct-1,9.9823,0.13792,0.15304,63.953,0.28699,9.2868,9.0546,0.61593,0.29096,33.972,1.1096,49.25,0.0027001,9.6915,71.4,99.962,58.275,1.7154,27.871,55.156
1_magic_e11_w2arab_magic_w2,Italy,121,outside,corner,22,Ct-1,16.056,0.11707,0.22006,173.66,0.73524,11.833,15.578,0.60499,0.33713,71.235,1.8798,72.104,0.09333,15.516,72.983,103.05,85.678,1.2028,42.792,117.74
1_magic_e11_w3arab_magic_w3,Italy,121,outside,corner,25,Ct-1,24.427,0.077948,0.27975,284.09,-0.66886,19.427,16.633,0.59822,0.35769,130.65,3.5889,108.76,0.31828,23.715,90.543,153.42,141.58,1.0836,58.342,218.4
1_magic_e11_w4arab_magic_w4,Italy,121,outside,corner,28,Ct-1,32.165,0.1038,0.25888,526.97,0.11919,22.105,25.72,0.53509,0.36269,220.19,2.4939,165.65,0.18282,31.228,124.62,179,198.53,0.90163,78.475,411.5
1_magic_e11_w5arab_magic_w5,Italy,121,outside,corner,32,Ct-1,38.591,0.11371,0.17943,1037.9,1.2375,31.995,34.549,0.56917,0.29314,452.74,1.578,257.86,0.050273,37.498,146.87,239.9,329.56,0.72794,104.58,795.43
1_magic_e12_w1arab_magic_w1,Germany,133,outside,noncorner,17,Wu-0,9.6641,0.084053,0.12186,57.407,0.80942,8.3581,7.0812,0.80062,0.20591,38.365,1.4498,37.921,0.033707,9.1993,37.481,78.917,55.024,1.4342,26.229,47.92
1_magic_e12_w2arab_magic_w2,Germany,133,outside,noncorner,22,Wu-0,15.193,0.071492,0.16831,152.12,0.78749,14.679,11.683,0.7263,0.2398,84.068,2.3542,66.881,0.163,14.922,53.207,104.58,93.767,1.1154,40.725,115.75
1_magic_e12_w3arab_magic_w3,Germany,133,outside,noncorner,25,Wu-0,21.65,0.081985,0.19984,269.18,0.64836,20.359,13.972,0.66356,0.28182,137.56,2.4375,111.74,0.17487,21.294,90.763,138.15,137.85,1.0022,54.722,207.3
1_magic_e12_w4arab_magic_w4,Germany,133,outside,noncorner,28,Wu-0,28.423,0.10413,0.16029,482.14,0.92048,26.832,23.356,0.64545,0.26441,255.39,1.5394,139.22,0.045113,27.595,75.89,139.57,188.8,0.73927,75.517,395.67
1_magic_e12_w5arab_magic_w5,Germany,133,outside,noncorner,32,Wu-0,34.032,0.11886,0.13128,857.87,0.52281,28.991,32.596,0.62807,0.25013,426.97,1.1045,217.14,0.0024661,32.504,110.43,203.43,294.71,0.69025,96.229,679.81
1_magic_e13_w1arab_magic_w1,Japan,145,outside,corner,17,Tsu-0,11.567,0.10786,0.13897,89.169,0.46052,10.208,10.672,0.70068,0.24684,50.274,1.2885,53.029,0.015889,11.081,55.934,96.36,69.602,1.3845,31.832,71.751
1_magic_e13_w2arab_magic_w2,Japan,145,outside,corner,22,Tsu-0,23.686,0.11111,0.18354,303.44,0.91003,23.144,19.387,0.60143,0.29465,163.25,1.6519,124.33,0.060428,23.011,94.686,167.4,165.31,1.0126,62.414,271.43
1_magic_e13_w3arab_magic_w3,Japan,145,outside,corner,25,Tsu-0,32.8,0.13511,0.1935,637.6,0.43092,23.11,28.954,0.57943,0.3286,277.83,1.4322,193.85,0.031575,31.247,135.25,242.42,259.52,0.9341,85.584,479.49
1_magic_e13_w4arab_magic_w4,Japan,145,outside,corner,28,Tsu-0,41.152,0.13611,0.17081,1194.5,1.8235,35.032,34.893,0.56382,0.30693,490.17,1.2549,294.51,0.01278,36.946,176.95,283.17,372.56,0.76007,112.33,869.37
1_magic_e13_w5arab_magic_w5,Japan,145,outside,corner,32,Tsu-0,59.589,0.12843,0.13435,2519.2,1.6876,50.388,51.741,0.591,0.26278,1150.1,1.046,460.76,0.00050633,55.901,184.6,245.12,530.95,0.46167,164.32,1946
1_magic_e14_w1arab_magic_w1,USA,157,outside,noncorner,17,Col-0,11.583,0.07985,0.16547,82.852,0.89244,9.1642,11.252,0.72735,0.24532,48.39,2.0723,53.42,0.12182,11.4,58.972,81.09,62.641,1.2945,30.753,66.529
1_magic_e14_w2arab_magic_w2,USA,157,outside,noncorner,22,Col-0,21.267,0.12363,0.15027,297.18,0.87424,18.936,17.734,0.66277,0.2739,147.37,1.2155,115.93,0.0094652,19.876,91.192,141.24,144.27,0.97898,57.264,222.36
1_magic_e14_w3arab_magic_w3,USA,157,outside,noncorner,25,Col-0,31.54,0.1138,0.17807,606.73,0.76923,29.087,21.118,0.61105,0.29187,271.68,1.5647,192.66,0.04848,29.676,136.62,211.55,239.73,0.88242,81.619,444.6
1_magic_e14_w4arab_magic_w4,USA,157,outside,noncorner,28,Col-0,40.591,0.13076,0.14431,1172.6,1.5786,33.781,36.7,0.59937,0.27506,509.38,1.1036,267.83,0.0024266,37.092,140.82,247.47,355.05,0.69702,110.7,849.85
1_magic_e14_w5arab_magic_w5,USA,157,outside,noncorner,32,Col-0,53.99,0.1085,0.14262,1984.5,2.5792,47.379,43.619,0.61677,0.25112,950.16,1.3145,406.19,0.018464,52.04,173.65,229.41,466.88,0.49136,147.82,1540.5
1_magic_e15_w1arab_magic_w1,Russia,169,outside,corner,17,Rsch-4,9.9472,0.076986,0.14181,62.729,0.26104,8.7568,7.3742,0.80195,0.2188,39.244,1.842,44.315,0.087779,9.6628,50.041,81.889,56.689,1.4445,26.279,48.935
1_magic_e15_w2arab_magic_w2,Russia,169,outside,corner,22,Rsch-4,17.646,0.093921,0.15117,200.53,0.48963,15.868,13.024,0.72256,0.24509,109.02,1.6096,78.457,0.054564,16.826,56.461,95.046,101.8,0.9337,46.597,150.88
1_magic_e15_w3arab_magic_w3,Russia,169,outside,corner,25,Rsch-4,25.517,0.10562,0.15748,412.08,0.3783,23.883,18.045,0.67013,0.26311,208.76,1.491,131.06,0.038847,24.112,82.285,133.46,166.92,0.79957,68.485,311.52
1_magic_e15_w4arab_magic_w4,Russia,169,outside,corner,28,Rsch-4,32.852,0.10576,0.1436,795.51,0.94439,30.566,28.621,0.64005,0.24935,384.46,1.3578,165.03,0.023027,30.946,70.839,129.82,223.41,0.5811,91.67,600.68
1_magic_e15_w5arab_magic_w5,Russia,169,outside,corner,32,Rsch-4,49.531,0.10562,0.13338,1743.1,1.1983,46.388,42.034,0.65926,0.239,866.06,1.2628,332.14,0.013485,47.384,127.38,250.39,465.68,0.5377,137.19,1313.7
1_magic_e16_w1arab_magic_w1,Germany,181,outside,noncorner,17,No-0,10.276,0.081625,0.20465,58.687,0.50307,7.7198,9.7938,0.62226,0.28627,28.65,2.5071,42.995,0.18467,9.9765,64.523,100.63,53.693,1.8741,26.125,46.041
1_magic_e16_w2arab_magic_w2,Germany,181,outside,noncorner,22,No-0,13.625,0.10193,0.12811,126.67,0.49522,10.928,12.126,0.75716,0.23003,74.064,1.2568,60.832,0.012948,12.988,49.964,79.317,76.646,1.0349,37.478,97.818
1_magic_e16_w3arab_magic_w3,Germany,181,outside,noncorner,25,No-0,19.997,0.083436,0.15052,243.71,0.99939,18.178,16.187,0.70693,0.23395,145.28,1.804,97.64,0.082213,19.474,65.624,123.62,134.01,0.92246,54.084,205.5
1_magic_e16_w4arab_magic_w4,Germany,181,outside,noncorner,28,No-0,26.547,0.096849,0.13155,431.21,1.4613,25.147,21.257,0.72559,0.22839,260.61,1.3583,131.62,0.023077,25.778,66.477,114.99,173.11,0.66426,71.657,359.18
